user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,16139123,1,false,na,Col,1,characteristic_level,empty_row
auto,16139123,1,false,na,Row,1,arms,
auto,16139123,2,false,na,Col,1,characteristic_level;characteristic_name,
auto,16139123,2,false,na,Col,1,characteristic_level,empty_row
auto,16139123,2,false,na,Row,1,arms,
auto,16139123,2,false,na,Row,5,characteristic_level,
auto,16139123,2,false,na,Row,6,characteristic_level,
auto,16139123,2,false,na,Row,11,characteristic_level,
auto,16139123,3,false,na,Col,1,outcomes,
auto,16139123,3,false,na,Row,1,arms,
auto,16139123,3,false,na,Row,2,measures,
auto,16139123,4,false,na,Col,1,outcomes,
auto,16139123,4,false,na,Row,1,arms,
auto,16139123,4,false,na,Row,2,measures,
auto,16214597,3,false,na,Col,1,characteristic_level,indent;
auto,16214597,3,false,na,Col,1,characteristic_level,indent;empty_row
auto,16214597,3,false,na,Row,1,arms;other,
auto,16267322,1,false,na,Col,1,characteristic_level,indent;
auto,16267322,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,16267322,1,false,na,Row,2,arms,
auto,16380589,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,16380589,1,false,na,Col,1,characteristic_name,indent;bold;empty_row
auto,16380589,1,false,na,Col,1,characteristic_level,indent;
auto,16380589,1,false,na,Col,1,characteristic_name,indent;empty_row
auto,16380589,1,false,na,Row,1,arms,
auto,16495392,2,false,na,Col,1,characteristic_level,bold;empty_row
auto,16495392,2,false,na,Col,1,characteristic_level;outcomes,empty_row
auto,16495392,2,false,na,Col,1,measures,indent;
auto,16495392,2,false,na,Col,1,characteristic_level,indent;empty_row
auto,16495392,2,false,na,Col,1,characteristic_level,indent;bold;empty_row
auto,16495392,2,false,na,Row,1,arms,
auto,16508926,2,false,na,Col,1,characteristic_level;characteristic_name,
auto,16508926,2,false,na,Row,1,arms,
auto,16508926,2,false,na,Row,2,measures,
auto,16508926,3,false,na,Row,1,measures,
auto,16508926,3,false,na,Row,2,arms,
auto,16508926,3,false,na,Row,3,characteristic_level,
auto,16533938,1,false,na,Col,1,characteristic_level,
auto,16533938,1,false,na,Row,1,measures,
auto,16533938,1,false,na,Row,2,arms,
auto,16533938,2,false,na,Col,1,characteristic_level,
auto,16533938,2,false,na,Col,1,characteristic_name,empty_row
auto,16533938,2,false,na,Row,1,outcomes,
auto,16533938,2,false,na,Row,2,arms,
auto,16537662,1,false,na,Col,1,characteristic_level,
auto,16537662,1,false,na,Col,1,characteristic_level;measures,indent;
auto,16537662,1,false,na,Row,1,arms,
auto,16537663,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,16537663,1,false,na,Col,1,characteristic_level,empty_row
auto,16537663,1,false,na,Col,1,characteristic_level,indent;
auto,16709304,1,false,na,Col,1,arms;characteristic_level,
auto,16709304,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,16709304,1,false,na,Row,1,characteristic_level,
auto,16709304,1,false,na,Row,2,characteristic_level,
auto,16709304,1,false,na,Row,21,characteristic_level,
auto,16709304,1,false,na,Row,22,characteristic_level,
auto,16709304,2,false,na,Col,1,characteristic_level,
auto,16709304,2,false,na,Row,1,characteristic_level,
auto,16709304,2,false,na,Row,2,characteristic_level,
auto,17022864,3,false,na,Col,1,characteristic_level,
auto,17022864,3,false,na,Row,1,characteristic_level,
auto,17022864,3,false,na,Row,11,measures,
auto,17022864,3,false,na,Row,24,measures,
auto,17058629,1,false,na,Col,1,characteristic_level,
auto,17058629,1,false,na,Row,2,arms,
auto,17058629,1,false,na,Row,19,characteristic_level,
